country,year,average,gini_index
US,1945,23239.4974621,0.2721536640871943
US,1944,24116.826476700004,0.27624506128956905
US,1943,23356.750344099997,0.29752838801926274
US,1942,20228.476851900003,0.3287444603907493
US,1941,17142.6645639,0.376814332230246
US,1940,14473.1196878,0.3959728380521379
US,1939,13362.334158399999,0.3964314701886248
US,1938,12498.4539234,0.38096811920398976
US,1937,13500.503229299999,0.3836580105573147
US,1936,12736.9482716,0.39628898922472106
US,1935,11536.236498,0.3880233252668791
US,1934,10481.1757544,0.3983418692504447
US,1933,9374.25124674,0.3842459849062002
US,1932,9683.77518142,0.38028350901029095
US,1931,11479.5978097,0.3642628023642972
US,1930,12885.4843744,0.37122974672838094
US,1929,14308.409051800001,0.3881177543445616
US,1928,13636.1337588,0.4009528731795836
US,1927,13490.2546134,0.3880425766545538
US,1926,13742.7166065,0.39578210984352136
US,1925,13129.6838839,0.3908057402259415
US,1924,12897.5694381,0.3699268983226642
US,1923,13064.266695999999,0.347741027144307
US,1922,11609.799690200001,0.3727340227492055
US,1921,10696.1377585,0.3830638108031208
US,1920,11861.1493768,0.3528936116456578
US,1919,12124.801695799999,0.3757770923046718
US,1918,12795.9865088,0.3553440759466412
US,1917,12094.671624600001,0.36876635157049453
US,1916,12287.9785199,0.3636928495180661
US,1915,10776.672111599999,0.3394467995782544
US,1914,10566.629636,0.3477267075212802
